tenor_days,log_moneyness,true_iv,observed,PCA-8,MLP-VAE,ConvVAE,ConvVAE+NA
14,-0.3,0.3781261860663864,1,0.37811046590097824,0.4327628313367207,0.39575818620893016,0.40017431403589104
14,-0.2,0.3395330537554603,1,0.33943956159361377,0.3782480771107805,0.3452456470897784,0.34260912442727287
14,-0.1,0.29745119026487843,1,0.29712472930135825,0.3111343105099395,0.3157279271039682,0.300957090309007
14,0.0,0.252768875082799,1,0.252274426027472,0.2445975763252467,0.2635873820804744,0.24870130752935266
14,0.1,0.2131301415955705,1,0.2129176715518789,0.23379626085760863,0.2028361537267822,0.2025694559422949
14,0.2,0.19527644373286784,1,0.19533152827938177,0.2681731067450393,0.18857029809931944,0.1983748011411893
14,0.3,0.19716302485695653,1,0.1971656281129109,0.2945940750366252,0.20769478314139472,0.21824412541600738
30,-0.3,0.34240547403477545,0,0.3425679294893174,0.382218042448508,0.3335504505916899,0.34021505182125256
30,-0.2,0.314143189198691,0,0.3141723631167986,0.33721470427531614,0.30812678455488896,0.3046142815313938
30,-0.1,0.28430043221992773,0,0.2841373575859158,0.28728702025640657,0.29091163308628687,0.2749133318306328
30,0.0,0.25363288771547227,0,0.25347103938298055,0.2467857237265563,0.26925065760725775,0.24844896221696208
30,0.1,0.22495506655632477,0,0.2248686743614678,0.22988127914997805,0.217801226605502,0.20979571470048972
30,0.2,0.20429945660524484,0,0.20421510072218074,0.24319274281197512,0.1909080706752812,0.1913258870593085
30,0.3,0.19572665851461707,0,0.19592728014259103,0.2625516273224549,0.18728720127830834,0.1864769549006613
60,-0.3,0.31910318625121514,1,0.3193839414802039,0.34174549158350004,0.30752599076474335,0.31248310027040066
60,-0.2,0.2982629587444081,1,0.29842363888331525,0.305260450850149,0.2856939736556678,0.28595456031381944
60,-0.1,0.2767616263471226,1,0.27683710463822536,0.2737601451445894,0.285559204212397,0.2634491261066746
60,0.0,0.25506006162560607,1,0.2552576171271782,0.2398346902070473,0.2759846348541417,0.2495535344980418
60,0.1,0.23426203392625372,1,0.23424943822296146,0.22690258818265804,0.23640008450757152,0.22153096395001404
60,0.2,0.21641966943981303,1,0.21664236635689876,0.23332530291287246,0.1961217456118067,0.19731804667497818
60,0.3,0.20391659982864835,1,0.20392938343721254,0.2494502277897344,0.18548220464331994,0.19078390698971384
90,-0.3,0.3089457620578989,1,0.3091902093521359,0.3254973730655188,0.30697620362977573,0.312138629591562
90,-0.2,0.29164822561182335,1,0.29180714226612314,0.29240997654709133,0.2945389297555513,0.28585475351037276
90,-0.1,0.27398548062298583,1,0.27413440646665554,0.26482598359996123,0.2841190961570597,0.268910869580298
90,0.0,0.2562730223769807,1,0.256594410494418,0.23900005463336915,0.2808277977949691,0.251958926371519
90,0.1,0.23914048867012822,1,0.23919759095906493,0.2264333495569337,0.2572157700781602,0.23775009725008805
90,0.2,0.22365480861800838,1,0.22397571780072384,0.23049013682000843,0.22248711142429875,0.2220457588013832
90,0.3,0.21118131903321086,1,0.21117756968744092,0.23942541665030248,0.20958510705405536,0.20865194693320752
120,-0.3,0.3030881407895234,1,0.3031983797020358,0.30904196189904776,0.3091178155897133,0.29752309384269404
120,-0.2,0.2879785306855002,1,0.2880363777362182,0.29043024456622946,0.29763566699290167,0.28338730965847725
120,-0.1,0.27264068372361083,1,0.2727392001929001,0.2580334022554235,0.28662414530148084,0.2708043824100496
120,0.0,0.25730848656567834,1,0.2576043381869861,0.23720854566730853,0.2788430646066683,0.2518918438226315
120,0.1,0.2424021115378532,1,0.24244429082383082,0.22955876175947593,0.2687631342389053,0.24067126642061978
120,0.2,0.22859046001218675,1,0.22881713004478205,0.224245080276961,0.2384277253167045,0.22624857657703495
120,0.3,0.21674909016351132,1,0.21671878963620633,0.23151531582546045,0.22094636788348507,0.2087815454413736
180,-0.3,0.2964625288118216,1,0.2961510638207873,0.29612616946762166,0.30649823896116946,0.29821464425030836
180,-0.2,0.28401920553998444,1,0.2837054153924945,0.27091629118547894,0.2888111843704852,0.27636536043351084
180,-0.1,0.27146926140602684,1,0.27125757666124783,0.25674003180838173,0.2755950396849713,0.26407561329058477
180,0.0,0.25896078994526084,1,0.2589654553446216,0.23547951076890775,0.27370443397283484,0.2535066024394651
180,0.1,0.24672950124578236,1,0.24653201698648147,0.2250927843356684,0.25709875850351427,0.24483262468543213
180,0.2,0.23512190570578861,1,0.2349335553392054,0.2230216945351382,0.23615926051080016,0.22407598805646584
180,0.3,0.22459023722360125,1,0.2243051823603784,0.22947456317246248,0.22365425629098704,0.2130283670023041
