sigma_short,term_log_ratio,rho,eta
0.27765302989813534,0.06729539132368079,-0.6809348597870873,0.8617230433497249
0.3133596679938645,-0.48387425416748514,-0.7372472593969385,0.4372419359645784
0.25236282085564576,-0.5446646799532255,-0.329449418880292,0.8753589118845068
0.5240145771399461,-0.46071047482132965,-0.4451201238584451,1.105237045046339
0.47213109645482676,-0.00011136135762290778,-0.7742161625780879,0.7426362354452845
0.3236965846028953,-0.27603304668574796,-0.4865181054720939,0.8268377467787678
0.4872861441493176,0.10372259309730991,-0.7531572217009967,0.44512487266311246
0.2779495319213156,-0.5328335220266536,-0.3784186508022408,1.0667044554341918
0.5083432577215969,-0.09433941802482665,-0.7447639752084195,0.3026976929120483
0.3487584221424733,-0.20911010067971747,-0.06310744702852755,0.6087703224015527
0.36230390566650794,-0.19906449298512685,-0.5690740712871615,0.7928771117674155
0.39086534388556965,0.16884580710917585,-0.6073781010802659,1.1094778275448767
0.21898789003127495,-0.3133703376198739,-0.05757731296491908,0.28298431220505305
0.5981269801390645,0.0013111460275683218,-0.6500444502384065,1.1819683874049691
0.4262117086428714,0.10182920086477032,-0.8759796647881176,0.3914892341446397
0.1943360050213817,-0.36374439252487006,-0.7797788891045042,0.2857322170320594
0.47456450054086186,-0.19747552657382306,-0.41621169960504045,0.9463493598586253
0.3981097756551344,0.05802702090992784,-0.14598747252070687,0.34309054551955276
0.3380426665742292,-0.2936873880269362,-0.7366493244308425,0.9028667863517592
0.6043951878651227,0.04628158872268451,-0.2443810451385825,0.7829852266454742
0.2071521936873906,-0.15852653802291328,-0.2680347810967375,0.34611620204411686
0.3414337501389598,0.14972342055940002,-0.33732312281926136,0.7594533150420146
0.2688570267809135,0.20876948046124777,-0.4453372080839473,0.9642236226425607
0.2721020019420817,0.2710977998871722,-0.3244677227216817,1.0128596156464562
0.6124076807937467,-0.4780519456389048,-0.47349678515850246,0.350239398876636
0.37101474700677295,-0.4010871768827837,-0.45837983916518726,1.0758736286974677
0.6035858310639269,-0.27970163952577237,-0.6485254636298201,0.6123617881481923
0.3328914905495195,-0.03921925511622981,-0.09909198992123525,0.8099288597872403
0.29635761679406186,-0.47694402120092905,-0.707029160755432,0.39956250849137065
0.4057654783123741,-0.364971799753776,-0.2509724231393837,0.5441527508117151
0.2561301180952801,-0.42311609646310844,-0.5918474958250372,0.6034211620617165
0.5063693899037109,-0.19453858561324505,-0.8030303527905635,0.2878950857354757
0.3750274741364298,-0.28812913723655653,-0.7217153807285759,0.8415334307264031
0.35339938595236586,-0.22117719201848046,-0.8680298814961434,0.3695592087744848
0.24117702733067475,-0.1851420292554804,-0.8586454223912079,0.930249420123689
0.20831328558970166,-0.445007459061429,-0.12595838740152032,0.9938894088327612
